receptor,ligand,deltaG
BACE,CAT13a,-8.84
BACE,CAT13b,-9.12
BACE,CAT13c,-9.32
BACE,CAT13d,-10.47
BACE,CAT13e,-9.96
BACE,CAT13f,-9.09
BACE,CAT13g,-9.09
BACE,CAT13h,-9.63
BACE,CAT13i,-9.27
BACE,CAT13j,-8.73
BACE,CAT13k,-9.7
BACE,CAT13m,-8.76
BACE,CAT13n,-8.54
BACE,CAT13o,-8.54
BACE,CAT17a,-10.73
BACE,CAT17b,-10.02
BACE,CAT17c,-9.86
BACE,CAT17d,-9.42
BACE,CAT17e,-10.02
BACE,CAT17f,-9.42
BACE,CAT17g,-9.74
BACE,CAT17h,-10.33
BACE,CAT17i,-9.47
BACE,CAT24,-11.35
BACE,CAT4a,-7.93
BACE,CAT4b,-9.63
BACE,CAT4c,-7.85
BACE,CAT4d,-9.11
BACE,CAT4i,-8.26
BACE,CAT4j,-9.02
BACE,CAT4k,-7.85
BACE,CAT4l,-9.34
BACE,CAT4m,-9.15
BACE,CAT4n,-9.09
BACE,CAT4o,-9.38
BACE,CAT4p,-10.08
